Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,DNA Secondary Structure Binding (GO:0000217),-0.48356955088328823,-1.5504078178915255,0.03292894280762565,0.23441072269494484,0.998,12/26,28.72%,RAD51C;RAD51D;MEF2C;YY1;LIN54;RAD18;MEN1;SMC6;GEN1;RECQL4;MSH2;MAPT
prerank,Heparan Sulfate Sulfotransferase Activity (GO:0034483),-0.6060730521540573,-1.5489396329531104,0.047619047619047616,0.23108180315378465,0.999,5/10,12.49%,HS3ST4;HS6ST1;NDST2;HS3ST2;HS3ST1
prerank,Gamma-Tubulin Binding (GO:0043015),-0.48821958287403455,-1.5429394577465476,0.04310344827586207,0.23474098435996493,0.999,11/23,24.16%,RAD51D;BRSK1;CENPJ;TUBGCP6;TUBGCP5;PAK1;TUBGCP4;TUBGCP2;TUBGCP3;RAB11FIP5;B9D2
prerank,NAD+ Binding (GO:0070403),0.5998480018076641,1.54255685760812,0.05217391304347826,0.3004355309904496,1.0,3/10,4.31%,ZC3HAV1;HPGD;GLUD1
prerank,Endopeptidase Inhibitor Activity (GO:0004866),0.36230266611801787,1.5395634760487455,0.005747126436781609,0.29606119789326746,1.0,24/63,22.43%,SERPINB1;ANXA2;TIMP4;SERPINA1;TIMP2;TIMP3;SERPINB8;SERPINI2;SERPINA6;THBS1;CST5;SPOCK3;CST3;SERPINB2;PI3;RENBP;SERPINB6;TIMP1;TFPI;APLP2;SERPINH1;USP14;SERPINA3;SERPINE2
prerank,Protease Binding (GO:0002020),0.3475192180317345,1.536937225380713,0.0030120481927710845,0.2907641422248164,1.0,41/87,29.99%,COMP;ANXA2;TIMP4;SERPINA1;TIMP2;TTN;TIMP3;DERL3;SEMG2;TYSND1;THBS1;COL1A2;DERL2;ACR;CRADD;CASP1;PYCARD;CST3;SYVN1;SERPINB6;TIMP1;DERL1;RNF139;AMFR;CCBE1;CFLAR;SLC2A13;ADAMTS4;RHBDD2;FN1;BCL2L10;LDLR;SRI;BIN1;VCP;CARD16;F2RL1;BCL2;ELANE;ITGB1;VWF
prerank,DNA Endonuclease Activity (GO:0004520),-0.5376991031847175,-1.5332315938765428,0.026455026455026454,0.24656974648564223,0.999,9/17,25.13%,EXOG;ENDOG;ERCC4;ENDOV;RAD50;RBBP8;RPS3;DNA2;DCLRE1C
prerank,Sterol Transfer Activity (GO:0120015),0.5352304244250367,1.5318453810283021,0.0392156862745098,0.2906477771180303,1.0,8/14,13.33%,NPC2;GRAMD1C;TSPO;STARD4;ABCG8;OSBPL2;PLTP;MTTP
prerank,Cytokine Activity (GO:0005125),0.3610867078111092,1.5305040893415742,0.011695906432748537,0.2841432844843759,1.0,36/73,30.53%,INHBB;WNT6;BMP7;CXCL3;IL33;FGF2;BMP6;GDF10;GDF11;WNT5B;WNT4;GDF15;TIMP1;GDF7;INHBC;CCL24;CXCL2;CCL22;PPBP;BMP10;CXCL16;CXCL6;CCL17;ALKAL2;CCL19;CCL21;C5;BMP2;WNT5A;WNT11;IL17D;CXCL12;CCL2;WNT7B;CSF1;CCL25
prerank,Adrenergic Receptor Binding (GO:0031690),-0.5481204743247123,-1.5224202772850983,0.04070796460176991,0.26032530233366097,1.0,7/15,24.30%,ADRB1;GRK2;RAPGEF2;DLG4;GNAS;MAGI2;AKAP5
