gene,pls1_weight,boot_mean,boot_std,z_boot,p_boot
ZNF567,-0.010060996746263247,-0.00903830064611321,0.002730513969035671,-3.6846530947492147,0.00022901434074062976
ZP3,-0.0101581924059924,-0.009156062919293793,0.002755502614838201,-3.686511619074937,0.00022734906639465535
ZNF629,-0.009616700646530583,-0.008685974496757575,0.0026086049951729653,-3.6865300282432916,0.00022733262840901602
MKNK2,-0.01301757220378123,-0.0119594758701218,0.003530339376690533,-3.687343004395337,0.0002266078140167327
FAM71E1,-0.01155715351478917,-0.010622337507560567,0.003134018147536307,-3.68764728560184,0.00022633708833930122
MDGA2,-0.0073115396067235695,-0.006727327661482862,0.0019816665754998617,-3.689591224436575,0.0002246146754525391
ARHGAP44,-0.0093491374497258,-0.00843050967430538,0.0025329800722792024,-3.6909636803077364,0.00022340603900583567
OSBPL6,-0.012512307621384224,-0.011581141980490949,0.0033861817058443997,-3.695108150808486,0.00021979321091203374
KLHL22,-0.009596214300902392,-0.00871052541274134,0.0025968610450874522,-3.6953129698856215,0.00021961609569842722
SLITRK3,-0.01025464959324686,-0.009251850734443729,0.002774149891154483,-3.696501629542199,0.00021859085683706425
RGS12,-0.00849112497400649,-0.007666440228831273,0.0022965356212676286,-3.6973626254138425,0.0002178510416190882
ZNF526,-0.011851964754455322,-0.01060842105065018,0.0032045692630470832,-3.6984579772152633,0.00021691325247363835
DZANK1,-0.012746741501202617,-0.011635584571549328,0.0034461949668438793,-3.6987871039915174,0.0002166322108883012
PPP2R5E,-0.008503642451415177,-0.008031591768830006,0.0022958528213761075,-3.7039144548988086,0.00021229787597820682
ARFGAP1,-0.010136043086120436,-0.009122917714160956,0.002735972875617733,-3.7047308386900224,0.00021161531919644538
ZNF12,-0.010116778212940452,-0.00917792925154345,0.0027304035748413587,-3.7052318221961946,0.0002111974811498385
TTC28,-0.010885462380668749,-0.009899051391936609,0.0029371551896452954,-3.7061243542883164,0.00021045499681493496
SNPH,-0.009552838223931902,-0.008596871934195468,0.0025767618871361804,-3.7073034460894445,0.0002094778856218671
USP42,-0.009682129368142004,-0.008743789890956574,0.002610463105913876,-3.708970008504474,0.0002081040734556172
MAML1,-0.012990316818098634,-0.011977669544936098,0.003501186355902952,-3.710261465002324,0.00020704530012216615
NKX1-2,-0.009694221117356587,-0.008762940878417292,0.002612393327147665,-3.7108581684907294,0.0002065578161756232
USP22,-0.010877073947095367,-0.010129021766230215,0.002929999104956371,-3.712313061357516,0.00020537373933748881
TRAF6,-0.00960810329870259,-0.008926491953471795,0.00258785046860068,-3.7127737538475123,0.0002050001319300332
EGR4,-0.010108006451528623,-0.009375559978934864,0.0027217590430674344,-3.71377711677844,0.00020418864376603452
MBD3,-0.010096517011647047,-0.009038635456753489,0.0027182582873576237,-3.7143332032151046,0.0002037401992476262
TRMT61B,-0.01194790040920933,-0.011001406240138196,0.0032155883390338133,-3.715618776251475,0.00020270701445102013
NPHP4,-0.009732351658193517,-0.0087858059310025,0.0026158231159874147,-3.7205694829712415,0.00019877404241830376
SNCB,-0.00810741212406109,-0.007323956820571709,0.0021776594954398803,-3.7229934895875076,0.00019687460042616678
NARFL,-0.011094671515235,-0.010125851058291979,0.0029786111882165,-3.724780044849742,0.00019548559406801225
UTP18,-0.010548806148694839,-0.009607172399266183,0.002831161587709746,-3.7259639981299135,0.0001945701761658647
C3orf58,-0.008821932605783586,-0.007953339113657285,0.002365620900811046,-3.7292250008270607,0.00019206959295869908
PLK5,-0.011945680808100443,-0.010751780208524827,0.0032030657296561287,-3.72945228613304,0.00019189643803985135
KHDC4,-0.011198874369665745,-0.010159359739489253,0.00300079295890969,-3.731971689821197,0.00018998685747950717
PILRA,-0.010423846327895368,-0.009374522431761526,0.002791725519282985,-3.7338363875301694,0.00018858502755381146
SLC35F1,-0.009546210068104632,-0.008726569235818306,0.0025565127892141597,-3.734074833648307,0.00018840647284035228
RIMS4,-0.009797891155176812,-0.008663142304781222,0.002623772232820802,-3.7342765628109253,0.00018825553684220786
ASXL1,-0.009208903226999339,-0.008283731136713206,0.002465917229399388,-3.7344737760084135,0.00018810808961067238
SETD1A,-0.011471692263169155,-0.0104381814364852,0.003071779236527618,-3.7345432011373694,0.00018805620947404122
KATNB1,-0.00909257310940193,-0.008170031236700936,0.002434004882405698,-3.7356429213137408,0.00018723620029659216
CHMP5,-0.010059813563424494,-0.009285187912316799,0.0026921368216612333,-3.7367393374965605,0.00018642200144802779
ANP32AP1,-0.01288360604391713,-0.011884727255445173,0.003447708618529074,-3.7368604686244553,0.00018633225388819952
TMEM38A,-0.0089417799124139,-0.00786752067029175,0.0023919552178413455,-3.7382722911023136,0.00018528920798188686
RBM27,-0.009873498628509399,-0.008927832784872521,0.0026408139254229107,-3.738808907912062,0.0001848942002107279
CDKL3,-0.010265939752536162,-0.00941451415032798,0.0027452845123921298,-3.7394811744269223,0.0001844004566804447
RNF19A,-0.010319669485292471,-0.009366797593772248,0.0027588569347958476,-3.7405598511240363,0.00018361081590589912
DGKA,-0.010168587340365357,-0.009318581236580295,0.002718219256251698,-3.7409003401687992,0.00018336222313086736
MAZ,-0.01115718736362602,-0.010376588953395792,0.0029824493758830507,-3.740947777302196,0.00018332761416250953
