"G_front_sup","S_central","S_temporal_sup","G_and_S_paracentral","G_precentral","G_postcentral","G_front_sup","S_intrapariet_and_P_trans","G_pariet_inf-Supramar","G_orbital","S_temporal_sup","G_and_S_paracentral","mean"
3.0659069426576098,2.0775760849122844,2.5969573612405576,2.413043220750463,3.0082953977941607,2.1487979074596644,3.077358974153808,2.3568647668995477,2.888167290371036,2.6341377531674564,2.583874005423774,2.462196421245454,2.6094313438396513
2.9346575248744164,1.8719595924935595,2.750845260602754,2.2963153665859095,2.782223647654487,1.9746634011664055,2.836526469877589,2.165096223396148,2.551163265077751,2.6615418098090995,2.604549524097523,2.1948297328092683,2.468697651537076
2.8125400300363372,2.0111507175169585,2.545993584925299,2.2156822830438614,2.610137177909983,2.184821316916639,2.8857702077147374,2.108073195314084,2.676649540975875,2.5593914953112242,2.5836713744878126,2.2191841175753466,2.4510887534773467
2.836558848257317,1.9527347534227817,2.57934632038712,2.25841475703137,2.737968275083231,2.1385784145093227,2.8306972956857455,2.118053078456323,2.6941032612904436,2.9382037633912588,2.5581025605047114,2.4114305764226844,2.504515992036859
2.8628830402443346,1.8626784806723122,2.3967551216878764,2.314914718270302,2.970737816687093,2.079851269280343,3.0672005113984318,2.1251560473291566,2.5547879715418973,2.9248182518859083,2.4193523103390597,2.2305184986284923,2.4841378364971005
2.9244433379553887,1.9549227272488987,2.5787289682134222,2.316717901385166,2.910407316143422,2.2708174099301166,2.7618992001901836,2.284536797308548,2.8649633553558687,2.8007489024568253,2.7081578868208185,2.295545904464285,2.5559908089560786
3.028834078037543,1.9696729783124927,2.6794747966064016,2.4881560957767594,2.9482544674408326,2.0389528137627204,3.0152176146042913,2.2606516183467846,2.895343021597311,2.864646571832431,2.6554422306583643,2.426285289018087,2.6059109646661685
2.9708165566296927,1.8040389160970192,2.4367647318969525,2.367855281529712,2.6894863112853655,1.6821249267864038,2.936909528503641,2.032805710494421,2.7268480325211994,2.7855231102203173,2.554067713517983,2.184468674985036,2.430975791205645
2.987943328531805,1.8073927849155158,2.6139529891557425,2.494692674562545,2.621000882857109,1.9971866470077637,3.1259415590396342,2.319090808555571,2.629810118515831,2.8139859867851302,2.65335871822541,2.530275084865345,2.5495526319181168
3.119664066684851,1.8639954744095621,2.7054317292340917,2.4057898436948446,2.926419643948568,2.3077761363561895,3.0825224333278647,2.398287842338933,2.938350646634726,3.0736992138582004,2.7659467375157782,2.7732030702098993,2.6967572365177923
2.7340303377960873,2.0374142037303553,2.5726238439412636,2.014594263226633,1.8214529990165718,2.205227772949699,2.8959933506330096,2.229972141324735,2.7523021860530292,2.786974371142527,2.6637501165100845,2.164325939832439,2.4065551271797028
2.9739643867623102,2.091967717292205,2.5369213786405167,2.457702315504282,2.8390986331353125,2.2793643415466813,3.0112362924556892,2.110539770360469,2.651007871231582,3.043977014456769,2.6533065948763763,2.4247621673513464,2.5894873736344617
2.822662740427453,1.8187768521423402,2.4728619342978164,2.2696510595859776,2.7367658863926327,2.064766255801612,2.771806688624546,2.1878699935260206,2.6686008957133707,2.700023191522419,2.5608660806589643,2.319921769359162,2.4495477790043596
