name,x.mni,y.mni,z.mni,lobe,hemi,index,gyrus,gyrus.full,subregion,subregion.full,Yeo_7network,Yeo_17network
PoG_L_4_2,-56,-14,16,Parietal,L,157,PoG,Postcentral Gyrus,A1/2/3tonIa,area 1/2/3 (tongue and larynx region),Somatomotor,Somatomotor B
PoG_R_4_2,56,-10,15,Parietal,R,158,PoG,Postcentral Gyrus,A1/2/3tonIa,area 1/2/3 (tongue and larynx region),Somatomotor,Somatomotor B
PoG_L_4_3,-46,-30,50,Parietal,L,159,PoG,Postcentral Gyrus,A2,area 2,Dorsal Attention,Dorsal Attention A
PoG_R_4_3,48,-24,48,Parietal,R,160,PoG,Postcentral Gyrus,A2,area 2,Somatomotor,Somatomotor A
PoG_L_4_4,-21,-35,68,Parietal,L,161,PoG,Postcentral Gyrus,A1/2/3tru,area 1/2/3 (trunk region),Somatomotor,Somatomotor A
PoG_R_4_4,20,-33,69,Parietal,R,162,PoG,Postcentral Gyrus,A1/2/3tru,area 1/2/3 (trunk region),Somatomotor,Somatomotor A
INS_L_6_1,-36,-20,10,Insula,L,163,INS,Insular Gyrus,G,hypergranular insula,Somatomotor,Somatomotor B
INS_R_6_1,37,-18,8,Insula,R,164,INS,Insular Gyrus,G,hypergranular insula,Somatomotor,Somatomotor B
INS_L_6_2,-32,14,-13,Insula,L,165,INS,Insular Gyrus,vIa,ventral agranular insula,Subcortex,SCGM
INS_R_6_2,33,14,-13,Insula,R,166,INS,Insular Gyrus,vIa,ventral agranular insula,Frontoparietal,Salience/VenAttn A
INS_L_6_3,-34,18,1,Insula,L,167,INS,Insular Gyrus,dIa,dorsal agranular insula,Ventral Attention,Salience/VenAttn A
INS_R_6_3,36,18,1,Insula,R,168,INS,Insular Gyrus,dIa,dorsal agranular insula,Ventral Attention,Salience/VenAttn A
INS_L_6_4,-38,-4,-9,Insula,L,169,INS,Insular Gyrus,vId/vIg,ventral dysgranular and granular insula,Ventral Attention,Dorsal Attention B
INS_R_6_4,39,-2,-9,Insula,R,170,INS,Insular Gyrus,vId/vIg,ventral dysgranular and granular insula,Ventral Attention,Dorsal Attention B
INS_L_6_5,-38,-8,8,Insula,L,171,INS,Insular Gyrus,dIg,dorsal granular insula,Somatomotor,Somatomotor B
INS_R_6_5,39,-7,8,Insula,R,172,INS,Insular Gyrus,dIg,dorsal granular insula,Somatomotor,Somatomotor B
INS_L_6_6,-38,5,5,Insula,L,173,INS,Insular Gyrus,dId,dorsal dysgranular insula,Ventral Attention,Dorsal Attention B
INS_R_6_6,38,5,5,Insula,R,174,INS,Insular Gyrus,dId,dorsal dysgranular insula,Ventral Attention,Dorsal Attention B
CG_L_7_1,-4,-39,31,Limbic,L,175,CG,Cingulate Gyrus,A23d,dorsal area 23,Default,Visual C
CG_R_7_1,4,-37,32,Limbic,R,176,CG,Cingulate Gyrus,A23d,dorsal area 23,Default,Visual C
CG_L_7_2,-3,8,25,Limbic,L,177,CG,Cingulate Gyrus,A24rv,rostroventral area 24,Subcortex,SCGM
CG_R_7_2,5,22,12,Limbic,R,178,CG,Cingulate Gyrus,A24rv,rostroventral area 24,Subcortex,SCGM
CG_L_7_3,-6,34,21,Limbic,L,179,CG,Cingulate Gyrus,A32p,pregenual area 32,Default,Visual C
CG_R_7_3,5,28,27,Limbic,R,180,CG,Cingulate Gyrus,A32p,pregenual area 32,Ventral Attention,Salience/VenAttn A
CG_L_7_4,-8,-47,10,Limbic,L,181,CG,Cingulate Gyrus,A23v,ventral area 23,Default,Default C
CG_R_7_4,9,-44,11,Limbic,R,182,CG,Cingulate Gyrus,A23v,ventral area 23,Visual,Default C
CG_L_7_5,-5,7,37,Limbic,L,183,CG,Cingulate Gyrus,A24cd,caudodorsal area 24,Ventral Attention,Dorsal Attention B
CG_R_7_5,4,6,38,Limbic,R,184,CG,Cingulate Gyrus,A24cd,caudodorsal area 24,Ventral Attention,Dorsal Attention B
CG_L_7_6,-7,-23,41,Limbic,L,185,CG,Cingulate Gyrus,A23c,caudal area 23,Ventral Attention,Salience/VenAttn A
CG_R_7_6,6,-20,40,Limbic,R,186,CG,Cingulate Gyrus,A23c,caudal area 23,Ventral Attention,Dorsal Attention B
CG_L_7_7,-4,39,-2,Limbic,L,187,CG,Cingulate Gyrus,A32sg,subgenual area 32,Default,Visual C
CG_R_7_7,5,41,6,Limbic,R,188,CG,Cingulate Gyrus,A32sg,subgenual area 32,Default,Visual C
MVOcC_L_5_1,-11,-82,-11,Occipital,L,189,MVOcC,MedioVentral Occipital Cortex,cLinG,caudal lingual gyrus,Visual,Visual A
MVOcC_R_5_1,10,-85,-9,Occipital,R,190,MVOcC,MedioVentral Occipital Cortex,cLinG,caudal lingual gyrus,Visual,Visual A
MVOcC_L_5_2,-5,-81,10,Occipital,L,191,MVOcC,MedioVentral Occipital Cortex,rCunG,rostral cuneus gyrus,Visual,Visual B
MVOcC_R_5_2,7,-76,11,Occipital,R,192,MVOcC,MedioVentral Occipital Cortex,rCunG,rostral cuneus gyrus,Visual,Visual B
MVOcC_L_5_3,-6,-94,1,Occipital,L,193,MVOcC,MedioVentral Occipital Cortex,cCunG,caudal cuneus gyrus,Visual,Visual A
MVOcC_R_5_3,8,-90,12,Occipital,R,194,MVOcC,MedioVentral Occipital Cortex,cCunG,caudal cuneus gyrus,Visual,Visual A
