,name,x.mni,y.mni,z.mni,lobe,hemi,index,gyrus,gyrus.full,subregion,subregion.full,Yeo_7network,Yeo_17network
99,ITG_L_7_6,-59,-42,-16,Temporal,L,99,ITG,Inferior Temporal Gyrus,A20cl,caudolateral of area 20,Frontoparietal,Default A
100,ITG_R_7_6,61,-40,-17,Temporal,R,100,ITG,Inferior Temporal Gyrus,A20cl,caudolateral of area 20,Frontoparietal,Default A
101,ITG_L_7_7,-55,-31,-27,Temporal,L,101,ITG,Inferior Temporal Gyrus,A20cv,caudoventral of area 20,Limbic,Salience/VenAttn B
102,ITG_R_7_7,54,-31,-26,Temporal,R,102,ITG,Inferior Temporal Gyrus,A20cv,caudoventral of area 20,Limbic,Salience/VenAttn B
103,FuG_L_3_1,-33,-16,-32,Temporal,L,103,FuG,Fusiform Gyrus,A20rv,rostroventral area 20,Limbic,Salience/VenAttn B
104,FuG_R_3_1,33,-15,-34,Temporal,R,104,FuG,Fusiform Gyrus,A20rv,rostroventral area 20,Limbic,Salience/VenAttn B
105,FuG_L_3_2,-31,-64,-14,Temporal,L,105,FuG,Fusiform Gyrus,A37mv,medioventral area 37,Visual,Visual A
106,FuG_R_3_2,31,-62,-14,Temporal,R,106,FuG,Fusiform Gyrus,A37mv,medioventral area 37,Visual,Visual A
107,FuG_L_3_3,-42,-51,-17,Temporal,L,107,FuG,Fusiform Gyrus,A37lv,lateroventral area 37,Dorsal Attention,Temporal Parietal
108,FuG_R_3_3,43,-49,-19,Temporal,R,108,FuG,Fusiform Gyrus,A37lv,lateroventral area 37,Visual,Temporal Parietal
109,PhG_L_6_1,-27,-7,-34,Temporal,L,109,PhG,Parahippocampal Gyrus,A35/36r,rostral area 35/36,Limbic,Salience/VenAttn B
110,PhG_R_6_1,28,-8,-33,Temporal,R,110,PhG,Parahippocampal Gyrus,A35/36r,rostral area 35/36,Limbic,Salience/VenAttn B
111,PhG_L_6_2,-25,-25,-26,Temporal,L,111,PhG,Parahippocampal Gyrus,A35/36c,caudal area 35/36,Limbic,Default C
112,PhG_R_6_2,26,-23,-27,Temporal,R,112,PhG,Parahippocampal Gyrus,A35/36c,caudal area 35/36,Visual,Default C
113,PhG_L_6_3,-28,-32,-18,Temporal,L,113,PhG,Parahippocampal Gyrus,TL,area TL (lateral PPHC posterior parahippocampal gyrus),Visual,Default C
114,PhG_R_6_3,30,-30,-18,Temporal,R,114,PhG,Parahippocampal Gyrus,TL,area TL (lateral PPHC posterior parahippocampal gyrus),Visual,Default C
115,PhG_L_6_4,-19,-12,-30,Temporal,L,115,PhG,Parahippocampal Gyrus,A28/34,area 28/34 (EC entorhinal cortex),Limbic,Salience/VenAttn B
116,PhG_R_6_4,19,-10,-30,Temporal,R,116,PhG,Parahippocampal Gyrus,A28/34,area 28/34 (EC entorhinal cortex),Limbic,Salience/VenAttn B
117,PhG_L_6_5,-23,2,-32,Temporal,L,117,PhG,Parahippocampal Gyrus,TI,area TI (temporal agranular insular cortex),Limbic,Salience/VenAttn B
118,PhG_R_6_5,22,1,-36,Temporal,R,118,PhG,Parahippocampal Gyrus,TI,area TI (temporal agranular insular cortex),Limbic,Salience/VenAttn B
119,PhG_L_6_6,-17,-39,-10,Temporal,L,119,PhG,Parahippocampal Gyrus,TH,area TH (medial PPHC),Visual,Visual B
120,PhG_R_6_6,19,-36,-11,Temporal,R,120,PhG,Parahippocampal Gyrus,TH,area TH (medial PPHC),Visual,Visual B
