sub,session,marker,delta_value,delta_name
sub-029,SD,global_theta_mean_db,0.27114906634351144,PVT_minus_CloseEye
sub-029,SD,n_epochs_total,-32.0,PVT_minus_CloseEye
sub-029,SD,posterior_alpha_mean_db,-3.8657557359801444,PVT_minus_CloseEye
sub-030,RW,global_theta_alpha_ratio_cv_linear,0.03937990784588197,PVT_minus_CloseEye
sub-030,RW,global_theta_alpha_ratio_mean_linear,1.0902716164979855,PVT_minus_CloseEye
sub-030,RW,global_theta_mean_db,1.531817497667376,PVT_minus_CloseEye
sub-030,RW,n_epochs_total,-376.0,PVT_minus_CloseEye
sub-030,RW,posterior_alpha_mean_db,-4.292005267960491,PVT_minus_CloseEye
sub-030,SD,global_theta_alpha_ratio_cv_linear,0.3077839418920148,PVT_minus_CloseEye
sub-030,SD,global_theta_alpha_ratio_mean_linear,-0.18162686481504275,PVT_minus_CloseEye
sub-030,SD,global_theta_mean_db,-0.5540352010662133,PVT_minus_CloseEye
sub-030,SD,n_epochs_total,-228.0,PVT_minus_CloseEye
sub-030,SD,posterior_alpha_mean_db,0.1477810646521931,PVT_minus_CloseEye
