feature,r
terms_abstract_tfidf__roles,0.0767067
LDA400_abstract_weight__115_wm_memory_working,0.07666337
terms_abstract_tfidf__interaction,0.07665927
terms_abstract_tfidf__flexibility,0.07656745
terms_abstract_tfidf__extends,0.07617012
terms_abstract_tfidf__supported,0.07594958
terms_abstract_tfidf__pre sma,0.075913884
terms_abstract_tfidf__consistently,0.07590977
terms_abstract_tfidf__sparse,0.07584228
terms_abstract_tfidf__sequence,0.075705856
terms_abstract_tfidf__concentration,0.075692914
terms_abstract_tfidf__phonological,0.07561584
terms_abstract_tfidf__spatial temporal,0.07560709
terms_abstract_tfidf__rhythm,0.0755863
terms_abstract_tfidf__recruits,0.07538573
LDA50_abstract_weight__24_age_adults_older,0.07524729
terms_abstract_tfidf__difficulties,0.07506588
terms_abstract_tfidf__underlies,0.0749809
terms_abstract_tfidf__questionnaire,0.074514106
terms_abstract_tfidf__thinking,0.074472375
terms_abstract_tfidf__cognitive function,0.074256405
terms_abstract_tfidf__blood oxygenation,0.07421632
terms_abstract_tfidf__oxygenation,0.07415738
terms_abstract_tfidf__adopted,0.07413674
terms_abstract_tfidf__social interaction,0.07409161
terms_abstract_tfidf__brief,0.07394912
terms_abstract_tfidf__aspect,0.07360792
LDA200_abstract_weight__155_temporal_sulcus_superior,0.07358117
terms_abstract_tfidf__sclerosis,0.07350327
terms_abstract_tfidf__parametric,0.07337443
terms_abstract_tfidf__accompanied,0.07332445
terms_abstract_tfidf__exhibit,0.0732018
terms_abstract_tfidf__forms,0.07317846
terms_abstract_tfidf__free,0.07317804
terms_abstract_tfidf__maps,0.07313775
terms_abstract_tfidf__large scale,0.07300289
LDA400_abstract_weight__231_age_young_adults,0.07277019
LDA400_abstract_weight__140_finger_tapping_index,0.07270185
terms_abstract_tfidf__contrast,0.0726646
terms_abstract_tfidf__probabilistic,0.07265249
terms_abstract_tfidf__contributing,0.07260449
terms_abstract_tfidf__ways,0.07253997
terms_abstract_tfidf__operculum,0.072379544
LDA400_abstract_weight__77_adhd_disorder_attention,0.07201226
terms_abstract_tfidf__mid,0.07200514
terms_abstract_tfidf__strategy,0.07192229
terms_abstract_tfidf__finger,0.07170149
terms_abstract_tfidf__unrelated,0.071671285
terms_abstract_tfidf__questions,0.07161627
LDA400_abstract_weight__337_suppression_voluntary_suppressed,0.07146122
terms_abstract_tfidf__initially,0.07146058
terms_abstract_tfidf__intention,0.07138105
terms_abstract_tfidf__problems,0.07116227
LDA400_abstract_weight__240_performance_task_cognitive,0.071060464
terms_abstract_tfidf__evaluate,0.07097806
terms_abstract_tfidf__dorsolateral pfc,0.07073896
terms_abstract_tfidf__resonance experiment,0.07071026
terms_abstract_tfidf__behavioral measures,0.07064227
LDA400_abstract_weight__374_magnetic_resonance_suggest,0.070528455
terms_abstract_tfidf__gyrus,0.07051537
LDA100_abstract_weight__28_phase_problem_problems,0.07039233
terms_abstract_tfidf__load,0.07024442
LDA400_abstract_weight__154_parietal_network_fronto,0.07017325
terms_abstract_tfidf__age controls,0.0701521
terms_abstract_tfidf__explicitly,0.07004374
terms_abstract_tfidf__fronto,0.0700339
terms_abstract_tfidf__pseudowords,0.06992706
terms_abstract_tfidf__unexpected,0.069912285
terms_abstract_tfidf__cortex frontal,0.06987544
terms_abstract_tfidf__contribution,0.069865175
terms_abstract_tfidf__unclear,0.069843784
terms_abstract_tfidf__laterality,0.069713816
terms_abstract_tfidf__dorsomedial,0.06947194
terms_abstract_tfidf__pre supplementary,0.06943141
terms_abstract_tfidf__short term,0.06933705
terms_abstract_tfidf__lexical,0.06933498
LDA50_abstract_weight__9_memory_working_wm,0.06914666
LDA200_abstract_weight__100_gestures_abstract_race,0.06912003
LDA400_abstract_weight__335_regulation_emotion_reappraisal,0.06908098
terms_abstract_tfidf__acquisition,0.06898085
terms_abstract_tfidf__lateral prefrontal,0.06889151
LDA200_abstract_weight__14_bpd_sn_ifc,0.06880861
terms_abstract_tfidf__38,0.068723455
terms_abstract_tfidf__constitute,0.06872193
terms_abstract_tfidf__using event,0.06870278
terms_abstract_tfidf__statement,0.068697564
terms_abstract_tfidf__variability,0.0686734
terms_abstract_tfidf__person,0.06828517
terms_abstract_tfidf__integration,0.06822574
terms_abstract_tfidf__22,0.068042666
terms_abstract_tfidf__output,0.06772993
LDA100_abstract_weight__11_task_cognitive_performance,0.06758675
terms_abstract_tfidf__proposed,0.06758083
LDA200_abstract_weight__149_olfactory_taste_odor,0.06756194
terms_abstract_tfidf__involves,0.067531124
terms_abstract_tfidf__indicating,0.06752263
terms_abstract_tfidf__exploring,0.06742791
LDA400_abstract_weight__187_parietal_inferior_lobule,0.06736968
terms_abstract_tfidf__states,0.06711487
terms_abstract_tfidf__flexibly,0.06708545
LDA400_abstract_weight__254_empathy_social_empathic,0.06702722
terms_abstract_tfidf__receive,0.06695646
terms_abstract_tfidf__unlike,0.06682546
terms_abstract_tfidf__memory task,0.06667981
terms_abstract_tfidf__applied,0.06655678
terms_abstract_tfidf__standard,0.06653265
terms_abstract_tfidf__insula anterior,0.06649809
terms_abstract_tfidf__motor control,0.06641586
terms_abstract_tfidf__mechanisms,0.06632423
terms_abstract_tfidf__materials,0.066214666
terms_abstract_tfidf__intentional,0.066139616
terms_abstract_tfidf__semantic memory,0.066123754
terms_abstract_tfidf__regarding,0.06611016
terms_abstract_tfidf__underpinnings,0.06605289
terms_abstract_tfidf__memory retrieval,0.06601649
LDA400_abstract_weight__64_selection_pmd_rostral,0.06573449
terms_abstract_tfidf__held,0.06572095
terms_abstract_tfidf__cognitively,0.06558445
LDA400_abstract_weight__146_creative_creativity_thinking,0.065542296
terms_abstract_tfidf__44,0.06516443
LDA200_abstract_weight__24_recruitment_recruited_engaged,0.064967915
terms_abstract_tfidf__ppi,0.06495652
terms_abstract_tfidf__reliability,0.06493562
terms_abstract_tfidf__estimates,0.06490069
terms_abstract_tfidf__days,0.06476962
terms_abstract_tfidf__general,0.06470315
terms_abstract_tfidf__maintain,0.06469758
terms_abstract_tfidf__error,0.06449812
terms_abstract_tfidf__primates,0.06444929
LDA400_abstract_weight__249_phase_phases_pws,0.06437058
terms_abstract_tfidf__dissociable,0.06423845
terms_abstract_tfidf__research,0.06416585
terms_abstract_tfidf__bases,0.06412793
